order_id,acct_ref,region,order_date,revenue
1,1000,North,2024-01-01,50.0
2,1001,South,2024-01-02,95.37
3,1002,East,2024-01-03,140.74
4,1003,West,2024-01-04,186.11
5,1004,North,2024-01-05,231.48
6,1005,South,2024-01-06,276.85
7,1006,East,2024-01-07,322.22
8,1007,West,2024-01-08,367.59
9,1008,North,2024-01-09,412.96
10,1009,South,2024-01-10,458.33
11,1010,East,2024-01-11,503.7
12,1011,West,2024-01-12,549.07
13,1012,North,2024-01-13,594.44
14,1013,South,2024-01-14,639.81
15,1014,East,2024-01-15,685.18
16,1015,West,2024-01-16,730.55
17,1016,North,2024-01-17,775.92
18,1017,South,2024-01-18,821.29
19,1018,East,2024-01-19,866.66
20,1019,West,2024-01-20,912.03
21,1020,North,2024-01-21,957.4
22,1021,South,2024-01-22,1002.77
23,1022,East,2024-01-23,1048.14
24,1023,West,2024-01-24,1093.51
25,1024,North,2024-01-25,1138.88
26,1025,South,2024-01-26,1184.25
27,1026,East,2024-01-27,1229.62
28,1027,West,2024-01-28,1274.99
29,1028,North,2024-01-29,1320.36
30,1029,South,2024-01-30,1365.73
31,1030,East,2024-01-31,1411.1
32,1031,West,2024-02-01,1456.47
33,1032,North,2024-02-02,1501.84
34,1033,South,2024-02-03,1547.21
35,1034,East,2024-02-04,1592.58
36,1035,West,2024-02-05,1637.95
37,1036,North,2024-02-06,1683.32
38,1037,South,2024-02-07,1728.69
39,1038,East,2024-02-08,1774.06
40,1039,West,2024-02-09,1819.43
41,1040,North,2024-02-10,1864.8
42,1041,South,2024-02-11,1910.17
43,1042,East,2024-02-12,1955.54
44,1043,West,2024-02-13,2000.91
45,1044,North,2024-02-14,2046.28
46,1045,South,2024-02-15,2091.65
47,1046,East,2024-02-16,2137.02
48,1047,West,2024-02-17,2182.39
49,1048,North,2024-02-18,2227.76
50,1049,South,2024-02-19,2273.13
