order_id,customer_id,region,order_date,revenue,currency
1,1000,N,2024-01-01,50.0,USD
2,1001,S,2024-01-02,95.37,USD
3,1002,E,2024-01-03,140.74,USD
4,1003,W,2024-01-04,186.11,USD
5,1004,N,2024-01-05,231.48,USD
6,1005,S,2024-01-06,276.85,USD
7,1006,E,2024-01-07,322.22,USD
8,1007,W,2024-01-08,367.59,USD
9,1008,N,2024-01-09,412.96,USD
10,1009,S,2024-01-10,458.33,USD
11,1010,E,2024-01-11,503.7,USD
12,1011,W,2024-01-12,549.07,USD
13,1012,N,2024-01-13,594.44,USD
14,1013,S,2024-01-14,639.81,USD
15,1014,E,2024-01-15,685.18,USD
16,1015,W,2024-01-16,730.55,USD
17,1016,N,2024-01-17,775.92,USD
18,1017,S,2024-01-18,821.29,USD
19,1018,E,2024-01-19,866.66,USD
20,1019,W,2024-01-20,912.03,USD
21,1020,N,2024-01-21,957.4,USD
22,1021,S,2024-01-22,1002.77,USD
23,1022,E,2024-01-23,1048.14,USD
24,1023,W,2024-01-24,1093.51,USD
25,1024,N,2024-01-25,1138.88,USD
26,1025,S,2024-01-26,1184.25,USD
27,1026,E,2024-01-27,1229.62,USD
28,1027,W,2024-01-28,1274.99,USD
29,1028,N,2024-01-29,1320.36,USD
30,1029,S,2024-01-30,1365.73,USD
31,1030,E,2024-01-31,1411.1,USD
32,1031,W,2024-02-01,1456.47,USD
33,1032,N,2024-02-02,1501.84,USD
34,1033,S,2024-02-03,1547.21,USD
35,1034,E,2024-02-04,1592.58,USD
36,1035,W,2024-02-05,1637.95,USD
37,1036,N,2024-02-06,1683.32,USD
38,1037,S,2024-02-07,1728.69,USD
39,1038,E,2024-02-08,1774.06,USD
40,1039,W,2024-02-09,1819.43,USD
41,1040,N,2024-02-10,1864.8,USD
42,1041,S,2024-02-11,1910.17,USD
43,1042,E,2024-02-12,1955.54,USD
44,1043,W,2024-02-13,2000.91,USD
45,1044,N,2024-02-14,2046.28,USD
46,1045,S,2024-02-15,2091.65,USD
47,1046,E,2024-02-16,2137.02,USD
48,1047,W,2024-02-17,2182.39,USD
49,1048,N,2024-02-18,2227.76,USD
50,1049,S,2024-02-19,2273.13,USD
